ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of living room,Number of floor,Floor of home,Heating,Credi Accepting
15177159,3.800.000,Ankara ,Keçiören ,Karakaya Mahallesi ,150,4,1,4,4,Kombi Doğalgaz,Evet
15164576,4.400.000,Ankara ,Mamak ,Akşemsettin Mahallesi ,150,3,1,14,9,Kombi Doğalgaz,Evet
15163978,2.750.000,Ankara ,Keçiören ,Bağlarbaşı Mahallesi ,120,3,1,3,2,Kombi Doğalgaz,Evet
15164126,2.249.000,Ankara ,Mamak ,Fahri Korutürk Mahallesi ,135,3,1,12,-1,Kombi Doğalgaz,Evet
15163129,6.500.000,Ankara ,Çankaya ,Yaşamkent Mahallesi ,160,4,1,15,7,Merkezi (Pay Ölçer),Evet
15168190,1.875.000,Ankara ,Etimesgut ,Süvari Mahallesi ,105,2,1,4,1,Kombi Doğalgaz,Evet
15167317,2.239.000,Ankara ,Keçiören ,Osmangazi Mahallesi ,125,3,1,3,1,Kombi Doğalgaz,Evet
15169606,2.200.000,Ankara ,Keçiören ,Uyanış Mahallesi ,130,3,1,3,1,Kombi Doğalgaz,Evet
15169659,1.689.000,Ankara ,Keçiören ,Kanuni Mahallesi ,110,2,1,3,1,Kombi Doğalgaz,Evet
15171598,1.539.000,Ankara ,Keçiören ,Bağlarbaşı Mahallesi ,100,2,1,2,Yüksek Giriş,Kombi Doğalgaz,Evet
15175098,2.390.000,Ankara ,Keçiören ,Şehit Kubilay Mahallesi ,125,3,1,3,1,Kombi Doğalgaz,Evet
15171966,2.800.000,Ankara ,Yenimahalle ,Yakacık Mahallesi ,150,3,1,7,1,Kombi Doğalgaz,Bilinmiyor
15175774,1.449.000,Ankara ,Keçiören ,Ufuktepe Mahallesi ,100,2,1,3,Yüksek Giriş,Kombi Doğalgaz,Evet
15169791,3.150.000,Ankara ,Keçiören ,Yayla Mahallesi ,130,3,1,3,1,Kombi Doğalgaz,Evet
15167280,645.000,Ankara ,Altındağ ,Hacı Bayram Mahallesi ,45,0,1,6,5,Merkezi Doğalgaz,Evet
15169996,1.650.000,Ankara ,Mamak ,Tuzluçayır Mahallesi ,110,3,1,5,3,Kombi Doğalgaz,Evet
15175627,1.500.000,Ankara ,Keçiören ,Kafkas Mahallesi ,125,3,1,4,4,Kombi Doğalgaz,Evet
15168032,10.300.000,Ankara ,Çankaya ,İşçi Blokları Mahallesi ,220,4,1,10,9,Kombi Doğalgaz,Evet
15172301,1.430.000,Ankara ,Mamak ,Gülveren Mahallesi ,130,3,1,5,Yüksek Giriş,Kombi Doğalgaz,Evet
15151309,1.850.000,Ankara ,Sincan ,Mareşal Çakmak Mahallesi ,130,3,1,4,4,Kombi Doğalgaz,Evet
15175586,2.239.000,Ankara ,Keçiören ,Ufuktepe Mahallesi ,125,3,1,3,1,Kombi Doğalgaz,Evet
15151417,3.800.000,Ankara ,Yenimahalle ,Turgut Özal Mahallesi ,140,3,1,6,5,Kombi Doğalgaz,Evet
15153521,2.749.000,Ankara ,Keçiören ,Kuşcağız Mahallesi ,145,3,1,3,2,Kombi Doğalgaz,Evet
15154807,1.150.000,Ankara ,Polatlı ,Zafer Mahallesi ,135,3,1,4,Yüksek Giriş,Kombi Doğalgaz,Evet
15155582,1.440.000,Ankara ,Mamak ,Bahçelerüstü Mahallesi ,140,3,1,7,-3,Kombi Doğalgaz,Evet
15157010,1.700.000,Ankara ,Keçiören ,Bademlik Mahallesi ,100,2,1,3,-1,Kombi Doğalgaz,Evet
15160786,3.100.000,Ankara ,Keçiören ,Ufuktepe Mahallesi ,245,4,1,3,Çatı Dubleks,Kombi Doğalgaz,Evet
15160801,3.700.000,Ankara ,Çankaya ,Bahçelievler Mahallesi ,60,1,1,3,0,Kombi Doğalgaz,Evet
15164408,1.549.000,Ankara ,Mamak ,Fahri Korutürk Mahallesi ,165,2,1,7,0,Kombi Doğalgaz,Evet
15162714,9.500.000,Ankara ,Etimesgut ,Göksu Mahallesi ,177,4,1,29,19,Merkezi (Pay Ölçer),Evet
15134981,2.495.000,Ankara ,Etimesgut ,Piyade Mahallesi ,65,1,1,8,8,Merkezi (Pay Ölçer),Evet
15134982,7.249.000,Ankara ,Etimesgut ,Göksu Mahallesi ,200,4,1,15,2,Merkezi (Pay Ölçer),Evet
15168146,2.690.000,Ankara ,Pursaklar ,Mimar Sinan Mahallesi ,125,3,1,3,2,Kombi Doğalgaz,Evet
15136541,4.600.000,Ankara ,Keçiören ,Pınarbaşı Mahallesi ,230,1.5,1,3,Çatı Dubleks,Kombi Doğalgaz,Evet
15135035,1.350.000,Ankara ,Kahramankazan ,Satıkadın Mahallesi ,135,3,1,5,5,Kombi Doğalgaz,Evet
15139224,1.860.000,Ankara ,Keçiören ,Esertepe Mahallesi ,135,3,1,3,2,Kombi Doğalgaz,Evet
15139568,2.300.000,Ankara ,Kahramankazan ,Atatürk Mahallesi ,125,3,1,4,1,Kombi Doğalgaz,Evet
15137619,1.975.000,Ankara ,Keçiören ,Adnan Menderes Mahallesi ,120,3,1,3,0,Kombi Doğalgaz,Evet
15137884,2.895.000,Ankara ,Pursaklar ,Merkez Mahallesi ,125,3,1,3,1,Kombi Doğalgaz,Evet
15140193,2.099.000,Ankara ,Keçiören ,Kuşcağız Mahallesi ,160,3,1,3,2,Kombi Doğalgaz,Evet
15141437,1.900.000,Ankara ,Mamak ,Küçük Kayaş Mahallesi ,115,3,1,3,2,Kombi Doğalgaz,Evet
15141571,1.780.000,Ankara ,Çankaya ,Cebeci Mahallesi ,120,3,1,3,0,Merkezi Doğalgaz,Evet
15142573,2.499.000,Ankara ,Keçiören ,Tepebaşı Mahallesi ,125,3,1,3,1,Kombi Doğalgaz,Evet
15142610,1.399.000,Ankara ,Keçiören ,Atapark Mahallesi ,110,2,1,3,-3,Kombi Doğalgaz,Evet
15142640,2.149.000,Ankara ,Keçiören ,Pınarbaşı Mahallesi ,125,3,1,3,-1,Kombi Doğalgaz,Evet
15142670,2.849.000,Ankara ,Keçiören ,Kanuni Mahallesi ,130,3,1,5,4,Kombi Doğalgaz,Evet
15142681,2.845.000,Ankara ,Keçiören ,Atapark Mahallesi ,125,3,1,3,2,Kombi Doğalgaz,Evet
15142758,2.749.000,Ankara ,Keçiören ,Atapark Mahallesi ,135,3,1,4,3,Kombi Doğalgaz,Evet
15142768,2.449.000,Ankara ,Keçiören ,Atapark Mahallesi ,125,3,1,3,1,Kombi Doğalgaz,Evet
15134733,2.650.000,Ankara ,Mamak ,Derbent Mahallesi ,120,3,1,15,8,Merkezi (Pay Ölçer),Evet
15142831,1.650.000,Ankara ,Keçiören ,Esertepe Mahallesi ,120,3,1,3,-2,Kombi Doğalgaz,Evet
15142848,2.950.000,Ankara ,Çankaya ,Kırkkonaklar Mahallesi ,128,2,1,3,Yüksek Giriş,Kombi Doğalgaz,Evet
15142920,2.350.000,Ankara ,Keçiören ,Hisar Mahallesi ,125,3,1,3,2,Kombi Doğalgaz,Evet
15143150,2.149.000,Ankara ,Keçiören ,Pınarbaşı Mahallesi ,120,3,1,3,-1,Kombi Doğalgaz,Evet
14999749,1.450.000,Ankara ,Keçiören ,Uyanış Mahallesi ,100,2,1,3,-1,Kombi Doğalgaz,Evet
15000499,3.000.000,Ankara ,Mamak ,Akşemsettin Mahallesi ,60,1,1,15,10,Kombi Doğalgaz,Evet
15006085,3.420.000,Ankara ,Yenimahalle ,Serhat Mahallesi ,130,3,1,8,5,Kombi Doğalgaz,Evet
14951321,2.950.000,Ankara ,Çankaya ,Kırkkonaklar Mahallesi ,128,2,1,3,Yüksek Giriş,Kombi Doğalgaz,Evet
15015602,2.500.000,Ankara ,Mamak ,Küçük Kayaş Mahallesi ,250,4,1,5,Çatı Dubleks,Merkezi Doğalgaz,Evet
15051737,2.090.000,Ankara ,Yenimahalle ,Karşıyaka Mahallesi ,125,3,1,8,6,Kombi Doğalgaz,Evet
15037340,1.589.000,Ankara ,Sincan ,Selçuklu Mahallesi ,125,3,1,4,0,Kombi Doğalgaz,Evet
15050628,2.350.000,Ankara ,Mamak ,Kusunlar Mahallesi ,155,3,1,13,10,Kombi Doğalgaz,Evet
15056076,2.300.000,Ankara ,Mamak ,Küçük Kayaş Mahallesi ,140,3,1,6,-1,Kombi Doğalgaz,Evet
15035459,1.800.000,Ankara ,Keçiören ,Kanuni Mahallesi ,170,4,1,4,-1,Kombi Doğalgaz,Evet
15049543,2.750.000,Ankara ,Mamak ,Yeni Bayındır Mahallesi ,135,3,1,8,8,Kombi Doğalgaz,Evet
15030264,3.250.000,Ankara ,Keçiören ,Kuşcağız Mahallesi ,130,3,1,3,3,Kombi Doğalgaz,Evet
15106150,2.770.000,Ankara ,Yenimahalle ,Mehmet Akif Ersoy Mahallesi ,90,2,1,17,5,Merkezi (Pay Ölçer),Hayır
