Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of floor,Floor of home,Credi Accepting,Kombi Doğalgaz Heating
999.00,Ankara,Keçiören,Karakaya Mahallesi,150,5,4,4,Evet,1
990.00,Ankara,Mamak,Akşemsettin Mahallesi,150,4,14,9,Evet,1
990.00,Ankara,Keçiören,Bağlarbaşı Mahallesi,120,4,3,2,Evet,1
977.00,Ankara,Mamak,Fahri Korutürk Mahallesi,135,4,12,-1,Evet,1
975.00,Ankara,Çankaya,Yaşamkent Mahallesi,160,5,15,7,Evet,0
975.00,Ankara,Etimesgut,Süvari Mahallesi,105,3,4,1,Evet,1
970.00,Ankara,Keçiören,Osmangazi Mahallesi,125,4,3,1,Evet,1
969.00,Ankara,Keçiören,Uyanış Mahallesi,130,4,3,1,Evet,1
965.00,Ankara,Keçiören,Kanuni Mahallesi,110,3,3,1,Evet,1
965.00,Ankara,Keçiören,Bağlarbaşı Mahallesi,100,3,2,0.5,Evet,1
950.00,Ankara,Keçiören,Şehit Kubilay Mahallesi,125,4,3,1,Evet,1
925.00,Ankara,Yenimahalle,Yakacık Mahallesi,150,4,7,1,Bilinmiyor,1
925.00,Ankara,Keçiören,Ufuktepe Mahallesi,100,3,3,0.5,Evet,1
920.00,Ankara,Keçiören,Yayla Mahallesi,130,4,3,1,Evet,1
920.00,Ankara,Altındağ,Hacı Bayram Mahallesi,45,1,6,5,Evet,0
914.00,Ankara,Mamak,Tuzluçayır Mahallesi,110,4,5,3,Evet,1
900.00,Ankara,Keçiören,Kafkas Mahallesi,125,4,4,4,Evet,1
900.00,Ankara,Çankaya,İşçi Blokları Mahallesi,220,5,10,9,Evet,1
900.00,Ankara,Mamak,Gülveren Mahallesi,130,4,5,0.5,Evet,1
900.00,Ankara,Sincan,Mareşal Çakmak Mahallesi,130,4,4,4,Evet,1
890.00,Ankara,Keçiören,Ufuktepe Mahallesi,125,4,3,1,Evet,1
889.00,Ankara,Yenimahalle,Turgut Özal Mahallesi,140,4,6,5,Evet,1
851.00,Ankara,Keçiören,Kuşcağız Mahallesi,145,4,3,2,Evet,1
850.00,Ankara,Polatlı,Zafer Mahallesi,135,4,4,0.5,Evet,1
850.00,Ankara,Mamak,Bahçelerüstü Mahallesi,140,4,7,-3,Evet,1
835.00,Ankara,Keçiören,Bademlik Mahallesi,100,3,3,-1,Evet,1
810.00,Ankara,Keçiören,Ufuktepe Mahallesi,245,5,3,3,Evet,1
797.00,Ankara,Çankaya,Bahçelievler Mahallesi,60,2,3,0,Evet,1
780.00,Ankara,Mamak,Fahri Korutürk Mahallesi,165,3,7,0,Evet,1
710.00,Ankara,Etimesgut,Göksu Mahallesi,177,5,29,19,Evet,0
640.00,Ankara,Etimesgut,Piyade Mahallesi,65,2,8,8,Evet,0
630.00,Ankara,Etimesgut,Göksu Mahallesi,200,5,15,2,Evet,0
620.00,Ankara,Pursaklar,Mimar Sinan Mahallesi,125,4,3,2,Evet,1
600.00,Ankara,Keçiören,Pınarbaşı Mahallesi,230,2.5,3,3,Evet,1
600.00,Ankara,Kahramankazan,Satıkadın Mahallesi,135,4,5,5,Evet,1
557.00,Ankara,Keçiören,Esertepe Mahallesi,135,4,3,2,Evet,1
350.00,Ankara,Kahramankazan,Atatürk Mahallesi,125,4,4,1,Evet,1
300.00,Ankara,Keçiören,Adnan Menderes Mahallesi,120,4,3,0,Evet,1
30.00,Ankara,Pursaklar,Merkez Mahallesi,125,4,3,1,Evet,1
24.00,Ankara,Keçiören,Kuşcağız Mahallesi,160,4,3,2,Evet,1
21.00,Ankara,Mamak,Küçük Kayaş Mahallesi,115,4,3,2,Evet,1
20.00,Ankara,Çankaya,Cebeci Mahallesi,120,4,3,0,Evet,0
160.00,Ankara,Keçiören,Tepebaşı Mahallesi,125,4,3,1,Evet,1
12.000.000.000,Ankara,Keçiören,Atapark Mahallesi,110,3,3,-3,Evet,1
8.200.000.000,Ankara,Keçiören,Pınarbaşı Mahallesi,125,4,3,-1,Evet,1
6.500.000.000,Ankara,Keçiören,Kanuni Mahallesi,130,4,5,4,Evet,1
5.000.000.000,Ankara,Keçiören,Atapark Mahallesi,125,4,3,2,Evet,1
4.250.000.000,Ankara,Keçiören,Atapark Mahallesi,135,4,4,3,Evet,1
4.100.000.000,Ankara,Keçiören,Atapark Mahallesi,125,4,3,1,Evet,1
3.300.000.105,Ankara,Mamak,Derbent Mahallesi,120,4,15,8,Evet,0
1.680.000.000,Ankara,Keçiören,Esertepe Mahallesi,120,4,3,-2,Evet,1
1.675.000.000,Ankara,Çankaya,Kırkkonaklar Mahallesi,128,3,3,0.5,Evet,1
225.000.000,Ankara,Keçiören,Hisar Mahallesi,125,4,3,2,Evet,1
90.000.000,Ankara,Keçiören,Pınarbaşı Mahallesi,120,4,3,-1,Evet,1
81.200.000,Ankara,Keçiören,Uyanış Mahallesi,100,3,3,-1,Evet,1
59.000.000,Ankara,Mamak,Akşemsettin Mahallesi,60,2,15,10,Evet,1
58.000.000,Ankara,Yenimahalle,Serhat Mahallesi,130,4,8,5,Evet,1
57.000.000,Ankara,Çankaya,Kırkkonaklar Mahallesi,128,3,3,0.5,Evet,1
56.000.000,Ankara,Mamak,Küçük Kayaş Mahallesi,250,5,5,5,Evet,0
55.000.000,Ankara,Yenimahalle,Karşıyaka Mahallesi,125,4,8,6,Evet,1
55.000.000,Ankara,Sincan,Selçuklu Mahallesi,125,4,4,0,Evet,1
49.900.000,Ankara,Mamak,Kusunlar Mahallesi,155,4,13,10,Evet,1
46.000.000,Ankara,Mamak,Küçük Kayaş Mahallesi,140,4,6,-1,Evet,1
45.000.000,Ankara,Keçiören,Kanuni Mahallesi,170,5,4,-1,Evet,1
43.750.000,Ankara,Mamak,Yeni Bayındır Mahallesi,135,4,8,8,Evet,1
42.000.000,Ankara,Keçiören,Kuşcağız Mahallesi,130,4,3,3,Evet,1
39.999.999,Ankara,Yenimahalle,Mehmet Akif Ersoy Mahallesi,90,3,17,5,Hayır,0
36.000.000,Ankara,Sincan,Fevzi Çakmak Mahallesi,145,4,4,1,Evet,1
35.000.000,Ankara,Mamak,Peyami Safa Mahallesi,105,4,4,4,Evet,0
34.500.000,Ankara,Mamak,Kutlu Mahallesi,120,4,6,6,Evet,1
34.500.000,Ankara,Polatlı,Şehitlik Mahallesi,137,4,2,1,Evet,1
34.000.000,Ankara,Keçiören,Atapark Mahallesi,125,4,3,3,Evet,1
34.000.000,Ankara,Etimesgut,Süvari Mahallesi,85,3,3,-1,Bilinmiyor,1
33.750.000,Ankara,Mamak,Gülveren Mahallesi,140,4,3,3,Evet,1
33.500.000,Ankara,Keçiören,Karakaya Mahallesi,140,4,4,3,Evet,1
33.000.000,Ankara,Altındağ,Karacaören Mahallesi,100,3,11,10,Evet,1
31.000.000,Ankara,Yenimahalle,Serhat Mahallesi,130,4,4,4,Evet,1
30.900.000,Ankara,Altındağ,Karapürçek Mahallesi,135,4,3,0.5,Evet,1
30.000.000,Ankara,Keçiören,Bademlik Mahallesi,140,4,4,2,Evet,1
30.000.000,Ankara,Çankaya,Ümit Mahallesi,145,4,9,1,Evet,1
29.260.000,Ankara,Mamak,Fahri Korutürk Mahallesi,220,5,13,13,Evet,1
29.000.000,Ankara,Etimesgut,Yapracık Mahallesi,136,4,11,7,Evet,0
28.500.000,Ankara,Etimesgut,Süvari Mahallesi,95,3,4,0.5,Bilinmiyor,1
28.000.000,Ankara,Sincan,Malazgirt Mahallesi,90,3,3,0,Evet,1
27.000.000,Ankara,Yenimahalle,Yeni Batı Mahallesi,130,4,13,4,Evet,1
27.000.000,Ankara,Çankaya,Kocatepe Mahallesi,130,4,5,4,Evet,1
26.950.000,Ankara,Sincan,Atatürk Mahallesi,125,4,4,2,Evet,1
26.000.000,Ankara,Keçiören,Etlik Mahallesi,145,4,3,1,Evet,1
26.000.000,Ankara,Mamak,Akşemsettin Mahallesi,230,5,4,4,Evet,1
25.850.000,Ankara,Polatlı,Şentepe Mahallesi,160,4,8,8,Evet,1
25.750.000,Ankara,Sincan,29 Ekim Mahallesi,165,5,5,1,Evet,1
25.500.000,Ankara,Mamak,Misket Mahallesi,110,4,3,3,Evet,1
25.250.000,Ankara,Mamak,Misket Mahallesi,130,4,3,-1,Evet,1
25.000.000,Ankara,Pursaklar,Merkez Mahallesi,125,4,3,1,Evet,1
25.000.000,Ankara,Keçiören,Bademlik Mahallesi,125,4,3,3,Evet,1
25.000.000,Ankara,Etimesgut,Süvari Mahallesi,150,4,13,-3,Evet,0
25.000.000,Ankara,Mamak,Boğaziçi Mahallesi,150,5,3,1,Evet,1
24.950.000,Ankara,Mamak,Akdere Mahallesi,110,4,2,2,Evet,1
24.750.000,Ankara,Sincan,Atatürk Mahallesi,115,4,3,0.5,Evet,1
24.750.000,Ankara,Keçiören,Ufuktepe Mahallesi,117,4,5,3,Evet,1
24.750.000,Ankara,Keçiören,Ayvalı Mahallesi,135,4,2,2,Evet,1
24.500.000,Ankara,Etimesgut,Bağlıca Mahallesi,21,1,4,1,Evet,1
24.500.000,Ankara,Mamak,Derbent Mahallesi,155,4,14,2,Evet,0
24.225.000,Ankara,Mamak,Mutlu Mahallesi,115,3,3,0,Evet,1
24.000.000,Ankara,Keçiören,Çiçekli Mahallesi,110,3,3,0.5,Evet,1
24.000.000,Ankara,Keçiören,Etlik Mahallesi,110,3.5,12,9,Evet,0
23.500.000,Ankara,Çankaya,Mimar Sinan Mahallesi,135,4,4,2,Evet,1
23.500.000,Ankara,Keçiören,Uyanış Mahallesi,140,4,5,3,Evet,1
23.000.000,Ankara,Mamak,Tuzluçayır Mahallesi,110,4,4,3,Evet,1
23.000.000,Ankara,Yenimahalle,Demetgül Mahallesi,120,4,6,1,Evet,1
23.000.000,Ankara,Keçiören,İncirli Mahallesi,115,3,3,-1,Evet,1
23.000.000,Ankara,Keçiören,Bademlik Mahallesi,130,4,3,1,Evet,1
23.000.000,Ankara,Keçiören,Karakaya Mahallesi,135,4,3,3,Evet,1
22.400.000,Ankara,Altındağ,Karapürçek Mahallesi,115,4,3,0,Evet,1
22.400.000,Ankara,Mamak,Şirintepe Mahallesi,115,4,3,1,Evet,1
22.000.000,Ankara,Gölbaşı,Eymir Mahallesi,85,3,3,3,Evet,0
