,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of floor,Floor of home,Credi Accepting,Kombi Doğalgaz Heating,Floor_Alt Katlar,Floor_Giriş Katı,Floor_Orta Katlar,Floor_Zemin Altı,Floor_Özel Değer,Floor_Üst Katlar
182,15000000.0,0,35,153,255.0,2,4,4,0,0,True,False,False,False,False,False
183,15000000.0,0,108,341,180.0,2,15,23,0,0,False,False,True,False,False,False
184,15000000.0,0,65,751,115.0,1,3,0,0,1,False,False,False,True,False,False
185,15000000.0,0,35,153,165.0,3,8,4,0,1,True,False,False,False,False,False
186,15000000.0,0,101,935,120.0,2,4,22,0,1,False,False,True,False,False,False
187,15000000.0,0,90,944,160.0,2,4,22,0,1,False,False,True,False,False,False
188,15000000.0,0,90,849,175.0,2,5,0,0,1,False,False,False,True,False,False
189,15000000.0,0,101,256,130.0,2,4,14,0,1,True,False,False,False,False,False
191,15000000.0,0,101,608,130.0,2,4,14,0,1,True,False,False,False,False,False
192,14950000.0,0,65,633,130.0,2,3,4,0,1,True,False,False,False,False,False
193,14950000.0,0,101,48,130.0,2,4,21,0,1,False,False,True,False,False,False
194,14950000.0,0,91,560,185.0,3,15,4,0,0,True,False,False,False,False,False
195,14650000.0,0,112,470,115.0,1,12,4,0,0,True,False,False,False,False,False
197,14500000.0,0,108,341,210.0,3,17,5,0,0,False,False,False,False,False,True
198,14500000.0,0,65,271,105.0,1,2,0,0,1,False,False,False,True,False,False
199,14500000.0,0,108,434,145.0,2,5,21,0,1,False,False,True,False,False,False
200,14500000.0,0,91,836,145.0,2,7,4,0,1,True,False,False,False,False,False
201,14500000.0,0,112,448,130.0,2,5,14,0,1,True,False,False,False,False,False
202,14500000.0,0,65,271,100.0,1,3,3,0,1,False,False,False,False,True,False
203,14450000.0,0,65,765,120.0,2,3,14,0,0,True,False,False,False,False,False
204,14350000.0,0,90,300,210.0,4,4,22,0,1,False,False,True,False,False,False
205,14300000.0,0,65,386,130.0,2,4,21,0,1,False,False,True,False,False,False
206,14300000.0,0,112,139,140.0,3,4,21,0,0,False,False,True,False,False,False
208,14250000.0,0,35,946,110.0,2,4,21,0,1,False,False,True,False,False,False
210,14000000.0,0,46,923,110.0,2,3,21,0,1,False,False,True,False,False,False
212,14000000.0,0,112,89,135.0,2,4,21,0,1,False,False,True,False,False,False
213,14000000.0,0,101,575,165.0,2,3,4,0,1,True,False,False,False,False,False
214,14000000.0,0,65,420,160.0,3,4,14,0,1,True,False,False,False,False,False
215,14000000.0,0,112,612,115.0,2,3,0,1,1,False,False,False,True,False,False
216,14000000.0,0,112,941,175.0,2,4,21,0,1,False,False,True,False,False,False
218,14000000.0,0,65,611,210.0,3,30,5,0,0,False,False,False,False,False,True
219,14000000.0,0,35,65,145.0,2,5,14,0,1,True,False,False,False,False,False
220,14000000.0,0,35,153,160.0,3,7,14,0,1,True,False,False,False,False,False
223,13900000.0,0,91,560,210.0,3,15,21,0,1,False,False,True,False,False,False
224,13900000.0,0,35,957,150.0,2,7,21,0,1,False,False,True,False,False,False
225,13750000.0,0,65,271,130.0,2,3,21,0,1,False,False,True,False,False,False
226,13750000.0,0,65,723,120.0,2,2,14,0,1,True,False,False,False,False,False
227,13650000.0,0,65,889,125.0,2,3,3,0,1,False,False,False,False,True,False
228,13550000.0,0,35,283,240.0,3,14,14,1,0,True,False,False,False,False,False
229,13500000.0,0,65,488,135.0,2,3,21,0,1,False,False,True,False,False,False
234,13500000.0,0,65,942,135.0,2,4,14,0,1,True,False,False,False,False,False
235,13500000.0,0,35,7,120.0,2,3,14,0,1,True,False,False,False,False,False
237,13500000.0,0,35,91,145.0,2,4,14,0,1,True,False,False,False,False,False
238,13450000.0,0,1,844,135.0,2,3,4,0,1,True,False,False,False,False,False
240,13450000.0,0,112,587,125.0,2,5,3,0,1,False,False,False,False,True,False
241,13250000.0,0,101,48,120.0,2,4,21,0,1,False,False,True,False,False,False
242,13200000.0,0,112,37,270.0,4,4,22,0,1,False,False,True,False,False,False
243,13150000.0,0,46,923,110.0,1,3,21,0,1,False,False,True,False,False,False
244,13000000.0,0,35,729,150.0,4,3,21,0,1,False,False,True,False,False,False
245,13000000.0,0,91,560,125.0,2,3,14,0,0,True,False,False,False,False,False
247,13000000.0,0,73,747,220.0,3,5,23,0,1,False,False,True,False,False,False
248,13000000.0,0,112,170,220.0,4,3,21,0,1,False,False,True,False,False,False
249,13000000.0,0,5,111,130.0,2,2,14,0,1,True,False,False,False,False,False
251,12975000.0,0,108,89,135.0,2,8,3,0,1,False,False,False,False,True,False
252,12950000.0,0,112,193,145.0,2,4,3,0,1,False,False,False,False,True,False
254,12950000.0,0,101,524,130.0,2,4,4,0,1,True,False,False,False,False,False
257,12950000.0,0,101,524,125.0,2,3,3,0,1,False,False,False,False,True,False
258,12880000.0,0,65,386,135.0,2,4,22,0,1,False,False,True,False,False,False
259,12800000.0,0,108,836,210.0,3,3,21,0,1,False,False,True,False,False,False
260,12800000.0,0,112,118,180.0,3,8,23,0,0,False,False,True,False,False,False
261,12750000.0,0,65,271,135.0,2,4,4,0,1,True,False,False,False,False,False
263,12750000.0,0,91,653,120.0,2,3,4,0,1,True,False,False,False,False,False
264,12750000.0,0,35,786,110.0,1,10,2,0,0,False,True,False,False,False,False
267,12500000.0,0,101,95,140.0,2,4,14,0,1,True,False,False,False,False,False
268,12500000.0,0,112,193,130.0,2,4,4,0,1,True,False,False,False,False,False
269,12500000.0,0,35,257,140.0,2,6,21,0,1,False,False,True,False,False,False
270,12500000.0,0,91,547,180.0,3,10,24,0,1,False,False,False,False,False,True
271,12500000.0,0,35,729,110.0,2,4,3,0,1,False,False,False,False,True,False
272,12500000.0,0,73,823,135.0,2,3,4,0,1,True,False,False,False,False,False
273,12500000.0,0,73,281,145.0,2,9,4,0,1,True,False,False,False,False,False
274,12500000.0,0,112,89,195.0,3,7,14,0,0,True,False,False,False,False,False
275,12500000.0,0,112,182,160.0,2,2,14,0,0,True,False,False,False,False,False
277,12500000.0,0,112,113,180.0,2,4,22,0,0,False,False,True,False,False,False
282,12250000.0,0,65,495,135.0,2,6,14,0,1,True,False,False,False,False,False
283,12250000.0,0,112,508,132.0,2,2,0,0,1,False,False,False,True,False,False
284,12250000.0,0,35,153,300.0,4,14,8,0,0,False,False,False,False,False,True
286,12250000.0,0,65,430,120.0,2,4,14,0,1,True,False,False,False,False,False
287,12200000.0,0,73,939,130.0,2,4,22,0,1,False,False,True,False,False,False
288,12200000.0,0,73,281,120.0,2,3,0,0,1,False,False,False,True,False,False
289,12165000.0,0,91,560,185.0,3,18,21,0,1,False,False,True,False,False,False
290,12000000.0,0,65,611,250.0,3,15,24,0,0,False,False,False,False,False,True
291,12000000.0,0,108,101,155.0,2,13,22,0,0,False,False,True,False,False,False
292,12000000.0,0,101,673,115.0,2,4,14,0,1,True,False,False,False,False,False
293,12000000.0,0,101,935,125.0,2,4,22,1,1,False,False,True,False,False,False
295,12000000.0,0,73,561,120.0,2,3,21,0,1,False,False,True,False,False,False
296,12000000.0,0,65,115,125.0,2,3,4,0,1,True,False,False,False,False,False
297,12000000.0,0,91,560,195.0,3,15,24,0,1,False,False,False,False,False,True
298,12000000.0,0,108,341,265.0,4,3,21,0,1,False,False,True,False,False,False
299,12000000.0,0,73,129,220.0,4,5,23,0,1,False,False,True,False,False,False
300,12000000.0,0,112,429,170.0,2,4,3,0,1,False,False,False,False,True,False
301,12000000.0,0,46,923,140.0,2,3,21,0,1,False,False,True,False,False,False
302,11999999.0,0,112,193,130.0,2,5,3,0,1,False,False,False,False,True,False
303,11990000.0,0,101,256,120.0,2,5,23,0,1,False,False,True,False,False,False
304,11900000.0,0,112,109,125.0,2,4,22,0,1,False,False,True,False,False,False
305,11900000.0,0,112,170,165.0,3,3,3,0,1,False,False,False,False,True,False
306,11900000.0,0,5,111,130.0,2,3,21,0,1,False,False,True,False,False,False
307,11900000.0,0,65,651,135.0,2,4,14,0,1,True,False,False,False,False,False
309,11800000.0,0,108,89,165.0,2,16,14,0,0,True,False,False,False,False,False
310,11750000.0,0,101,256,125.0,2,5,22,0,1,False,False,True,False,False,False
311,11750000.0,0,73,743,110.0,2,4,21,0,1,False,False,True,False,False,False
312,11750000.0,0,91,547,115.0,2,3,0,0,1,False,False,False,True,False,False
313,11750000.0,0,35,257,135.0,2,17,3,0,1,False,False,False,False,True,False
314,11750000.0,0,65,781,125.0,2,3,0,0,1,False,False,False,True,False,False
315,11670000.0,0,112,123,125.0,2,3,14,0,1,True,False,False,False,False,False
316,11650000.0,0,65,115,120.0,2,3,14,0,1,True,False,False,False,False,False
317,11500000.0,0,108,201,120.0,2,7,25,0,1,False,False,False,False,False,True
319,11500000.0,0,73,222,120.0,2,9,22,0,1,False,False,True,False,False,False
320,11500000.0,0,91,836,135.0,2,3,21,0,1,False,False,True,False,False,False
321,11500000.0,0,65,386,135.0,2,3,14,0,1,True,False,False,False,False,False
322,11500000.0,0,73,500,130.0,2,4,4,0,1,True,False,False,False,False,False
323,11500000.0,0,90,936,117.0,1,12,14,0,1,True,False,False,False,False,False
324,11500000.0,0,65,791,120.0,2,3,14,0,1,True,False,False,False,False,False
326,11500000.0,0,101,673,164.0,3,10,4,0,0,True,False,False,False,False,False
327,11400000.0,0,65,93,110.0,2,3,14,1,1,True,False,False,False,False,False
328,11375000.0,0,35,242,125.0,2,3,4,0,1,True,False,False,False,False,False
329,11350000.0,0,73,309,110.0,1,4,3,0,1,False,False,False,False,True,False
331,11250000.0,0,73,939,120.0,2,3,21,0,1,False,False,True,False,False,False
332,11250000.0,0,35,702,250.0,3,3,21,0,1,False,False,True,False,False,False
333,11250000.0,0,65,143,115.0,2,2,4,0,1,True,False,False,False,False,False
334,11050000.0,0,65,751,115.0,1,3,14,0,1,True,False,False,False,False,False
335,11050000.0,0,73,961,135.0,2,3,14,0,1,True,False,False,False,False,False
