ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15157317,"5,600,000",Antalya Satılık Daire,Manavgat Satılık Daire,Ilıca Mahallesi Satılık Daire,280 M2,4+1,1,3,2.Kat,Klimalı,Krediye Uygun
15063023,"1,550,000",Antalya Satılık Daire,Finike Satılık Daire,Kum Mahallesi Satılık Daire,55 M2,1+1,0 (Yeni),4,2.Kat,Klimalı,Krediye Uygun
15034028,"3,450,000",Antalya Satılık Daire,Alanya Satılık Daire,Şekerhane Mahallesi Satılık Daire,110 M2,2+1,16-20,5,2.Kat,Klimalı,Krediye Uygun
15045936,"2,250,000",Antalya Satılık Daire,Kepez Satılık Daire,Aydoğmuş Mahallesi Satılık Daire,85 M2,2+1,0 (Yeni),3,Düz Giriş (Zemin),Isıtma Yok,Krediye Uygun
15070264,"2,280,000",Antalya Satılık Daire,Kepez Satılık Daire,Ahatlı Mahallesi Satılık Daire,65 M2,1+1,5-10,3,1.Kat,Klimalı,Krediye Uygun
15073828,"6,250,000",Antalya Satılık Daire,Alanya Satılık Daire,Cikcilli Mahallesi Satılık Daire,160 M2,4+1,16-20,5,Bahçe Dublex,Klimalı,Krediye Uygun
15072131,"5,571,000",Antalya Satılık Daire,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,120 M2,2+1,5-10,5,2.Kat,Klimalı,Krediye Uygun
14973324,"8,245,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,240 M2,4+1,11-15,12,12.Kat,Klimalı,Krediye Uygun
15092928,"4,750,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Yeşilbahçe Mahallesi Satılık Daire,80 M2,1+1,5-10,4,1.Kat,Klimalı,Krediye Uygun Değil
,,,,,,,,,,,
15119232,"3,800,000",Antalya Satılık Daire,Alanya Satılık Daire,Kestel Mahallesi Satılık Daire,60 M2,1+1,5-10,4,1.Kat,Klimalı,Krediye Uygun
15094036,"2,475,000",Antalya Satılık Daire,Aksu Satılık Daire,Altıntaş Mahallesi Satılık Daire,65 M2,1+1,0 (Yeni),5,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
14973326,"4,500,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,155 M2,3+1,11-15,11,4.Kat,Klimalı,Krediye Uygun
15127329,"5,200,000",Antalya Satılık Daire,Finike Satılık Daire,Kum Mahallesi Satılık Daire,130 M2,2+1,0 (Yeni),4,3.Kat,Klimalı,Krediye Uygun
,,,,,,,,,,,
15092561,"2,500,000",Antalya Satılık Daire,Kepez Satılık Daire,Altınova Orta Mahallesi Satılık Daire,50 M2,1+1,5-10,7,1.Kat,Merkezi Doğalgaz,Krediye Uygun Değil
,,,,,,,,,,,
15136784,"4,300,000",Antalya Satılık Daire,Muratpaşa Satılık Daire,Fener Mahallesi Satılık Daire,100 M2,2+1,11-15,2,1.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15133072,"7,600,000",Antalya Satılık Daire,Alanya Satılık Daire,Oba Mahallesi Satılık Daire,160 M2,3+1,0 (Yeni),5,4.Kat,Klimalı,Bilinmiyor
15176782,"3,715,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,105 M2,2+1,21 Ve Üzeri,5,5.Kat,Klimalı,Bilinmiyor
,,,,,,,,,,,
15176797,"3,650,000",Antalya Satılık Daire,Kepez Satılık Daire,Gazi Mahallesi Satılık Daire,140 M2,3+1,0 (Yeni),3,3.Kat,Klimalı,Krediye Uygun
15134880,"7,650,000",Antalya Satılık Daire,Alanya Satılık Daire,Güller Pınarı Mahallesi Satılık Daire,125 M2,2+1,0 (Yeni),4,Çatı Dubleks,Klimalı,Krediye Uygun
15177069,"2,100,000",Antalya Satılık Daire,Kepez Satılık Daire,Karşıyaka Mahallesi Satılık Daire,90 M2,2+1,5-10,4,Yüksek Giriş,Klimalı,Bilinmiyor
,,,,,,,,,,,
15177076,"2,650,000",Antalya Satılık Daire,Finike Satılık Daire,Kum Mahallesi Satılık Daire,165 M2,3+1,16-20,5,1.Kat,Klimalı,Krediye Uygun
,,,,,,,,,,,
15177122,"3,080,000",Antalya Satılık Daire,Alanya Satılık Daire,Mahmutlar Mahallesi Satılık Daire,135 M2,2+1,5-10,6,1.Kat,Klimalı,Bilinmiyor
