ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15177159,"3,800,000",Ankara Satılık Daire,Keçiören Satılık Daire,Karakaya Mahallesi Satılık Daire,150 M2,4+1,0 (Yeni),4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15164576,"4,400,000",Ankara Satılık Daire,Mamak Satılık Daire,Akşemsettin Mahallesi Satılık Daire,150 M2,3+1,4,14,9.Kat,Kombi Doğalgaz,Krediye Uygun
15163978,"2,750,000",Ankara Satılık Daire,Keçiören Satılık Daire,Bağlarbaşı Mahallesi Satılık Daire,120 M2,3+1,5-10,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15164126,"2,249,000",Ankara Satılık Daire,Mamak Satılık Daire,Fahri Korutürk Mahallesi Satılık Daire,135 M2,3+1,0 (Yeni),12,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun
15163129,"6,500,000",Ankara Satılık Daire,Çankaya Satılık Daire,Yaşamkent Mahallesi Satılık Daire,160 M2,4+1,16-20,15,7.Kat,Merkezi (Pay Ölçer),Krediye Uygun
15168190,"1,875,000",Ankara Satılık Daire,Etimesgut Satılık Daire,Süvari Mahallesi Satılık Daire,105 M2,2+1,5-10,4,1.Kat,Kombi Doğalgaz,Krediye Uygun
15167317,"2,239,000",Ankara Satılık Daire,Keçiören Satılık Daire,Osmangazi Mahallesi Satılık Daire,125 M2,3+1,16-20,3,1.Kat,Kombi Doğalgaz,Krediye Uygun
15169606,"2,200,000",Ankara Satılık Daire,Keçiören Satılık Daire,Uyanış Mahallesi Satılık Daire,130 M2,3+1,16-20,3,1.Kat,Kombi Doğalgaz,Krediye Uygun
15169659,"1,689,000",Ankara Satılık Daire,Keçiören Satılık Daire,Kanuni Mahallesi Satılık Daire,110 M2,2+1,11-15,3,1.Kat,Kombi Doğalgaz,Krediye Uygun
15171598,"1,539,000",Ankara Satılık Daire,Keçiören Satılık Daire,Bağlarbaşı Mahallesi Satılık Daire,100 M2,2+1,21 Ve Üzeri,2,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15175098,"2,390,000",Ankara Satılık Daire,Keçiören Satılık Daire,Şehit Kubilay Mahallesi Satılık Daire,125 M2,3+1,5-10,3,1.Kat,Kombi Doğalgaz,Krediye Uygun
15171966,"2,800,000",Ankara Satılık Daire,Yenimahalle Satılık Daire,Yakacık Mahallesi Satılık Daire,150 M2,3+1,0 (Yeni),7,1.Kat,Kombi Doğalgaz,Bilinmiyor
15175774,"1,449,000",Ankara Satılık Daire,Keçiören Satılık Daire,Ufuktepe Mahallesi Satılık Daire,100 M2,2+1,5-10,3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15169791,"3,150,000",Ankara Satılık Daire,Keçiören Satılık Daire,Yayla Mahallesi Satılık Daire,130 M2,3+1,11-15,3,1.Kat,Kombi Doğalgaz,Krediye Uygun
15167280,"645,000",Ankara Satılık Daire,Altındağ Satılık Daire,Hacı Bayram Mahallesi Satılık Daire,45 M2,1 Oda,21 Ve Üzeri,6,5.Kat,Merkezi Doğalgaz,Krediye Uygun
15169996,"1,650,000",Ankara Satılık Daire,Mamak Satılık Daire,Tuzluçayır Mahallesi Satılık Daire,110 M2,3+1,11-15,5,3.Kat,Kombi Doğalgaz,Krediye Uygun
15175627,"1,500,000",Ankara Satılık Daire,Keçiören Satılık Daire,Kafkas Mahallesi Satılık Daire,125 M2,3+1,11-15,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15168032,"10,300,000",Ankara Satılık Daire,Çankaya Satılık Daire,İşçi Blokları Mahallesi Satılık Daire,220 M2,4+1,11-15,10,9.Kat,Kombi Doğalgaz,Krediye Uygun
15172301,"1,430,000",Ankara Satılık Daire,Mamak Satılık Daire,Gülveren Mahallesi Satılık Daire,130 M2,3+1,11-15,5,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
