ilan no,Price,City,Town,Date,Neighbourhood,Tapu Status,Structure Status,Total Square of Meter,Number of room,Number of bathroom,Age of Structure,Number of floors,Heating,Credi Accepting,Seller,Swap
3248,3.100.000,Ankara,Pursaklar,29/04/24,Saray Fatih Mahallesi,kat mülkiyetli,var,180,4+1,2,11-15 arası,9,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
3406,2.900.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
3518,2.550.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,130,3+1,1,31 ve üzeri,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
4322,5.500.000,Ankara,Altındağ,29/04/24,Güneşevler Mahallesi,kat mülkiyetli,var,350,6+2,2,11-15 arası,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
3639,2.800.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Evet
3576,6.850.000,Ankara,Keçiören,29/04/24,Kavacık Subayevleri Mahallesi,kat mülkiyetli,var,180,4+1,2,3,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
1437,3.250.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,110,3+1,1,16-20 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
3053,8.500.000,Ankara,Altındağ,29/04/24,Güneşevler Mahallesi,kat mülkiyetli,var,300,4+2,2,11-15 arası,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
941,3.350.000,Ankara,Altındağ,29/04/24,Güneşevler Mahallesi,kat mülkiyetli,var,120,3+1,1,5-10 arası,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
2106,2.850.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Evet
1678,2.650.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,4,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
2946,6.300.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,175,4+1,2,0,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
4106,7.550.000,Ankara,Yenimahalle,29/04/24,Turgut Özal Mahallesi,kat mülkiyetli,var,244,4+1,2,21-25 arası,2,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
1499,2.950.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
2378,2.500.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
3408,2.750.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
4482,3.750.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,103,2+1,1,0,15,Yerden Isıtma,Evet,Emlak Ofisi,Hayır
3773,2.600.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
963,2.850.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Evet
4774,2.750.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
4925,2.750.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,4,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
2027,2.650.000,Ankara,Altındağ,29/04/24,Güneşevler Mahallesi,kat mülkiyetli,var,140,3+1,2,5-10 arası,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
966,2.650.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,120,3+1,1,16-20 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
4520,2.650.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,4,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
4343,2.100.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,85,2+1,1,5-10 arası,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
400,2.600.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,4,Doğalgaz (Kombi),,Emlak Ofisi,Hayır
3490,4.200.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,125,3+1,1,31 ve üzeri,4,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
305,7.500.000,Ankara,Altındağ,29/04/24,Güneşevler Mahallesi,kat mülkiyetli,var,240,5+1,2,0,20,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4732,6.300.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,250,4+1,2,0,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
4216,2.950.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
3325,2.650.000,Ankara,Altındağ,29/04/24,Altınpark Mahallesi,kat mülkiyetli,var,225,3+1,1,21-25 arası,1,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1464,2.650.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,3+1,1,31 ve üzeri,4,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
3554,2.600.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
2645,2.600.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
3606,2.600.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
4340,2.250.000,Ankara,Keçiören,29/04/24,Kavacık Subayevleri Mahallesi,kat mülkiyetli,var,110,3+1,1,31 ve üzeri,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
3577,6.300.000,Ankara,Keçiören,28/04/24,Kavacık Subayevleri Mahallesi,kat mülkiyetli,var,180,4+1,2,3,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
3456,2.750.000,Ankara,Altındağ,28/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,90,2+1,1,0,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
4477,3.100.000,Ankara,Altındağ,29/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,120,3+1,1,31 ve üzeri,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
4341,3.750.000,Ankara,Altındağ,29/04/24,Güneşevler Mahallesi,kat mülkiyetli,var,180,4+1,2,5-10 arası,10,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1269,1.650.000,Ankara,Altındağ,28/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,110,3+1,1,26-30 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
3416,4.500.000,İzmir,Bayraklı,29/04/24,Org.Nafiz Gürman Mahallesi,KAT MÜLKÜYETİ TAPU,İKİNCİ EL,145,3+1,2,4,7,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1653,2.550.000,Ankara,Altındağ,28/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,4,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Evet
3894,4.850.000,İzmir,Karşıyaka,29/04/24,Yalı Mahallesi,KAT MÜLKÜYETİ,İKİNCİ EL,145,3+1,2,11-15 arası,7,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
900,2.650.000,Ankara,Altındağ,28/04/24,Aydınlıkevler Mahallesi,kat mülkiyetli,var,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
1814,4.885.000,İzmir,Karşıyaka,29/04/24,Fikri Altay Mahallesi,MÜSTAKİL TAPULU,İKİNCİ EL,110,2+1,2,5-10 arası,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
3415,5.275.000,İzmir,Karşıyaka,29/04/24,Yalı Mahallesi,KAT MÜLKÜYETİ,İKİNCİ EL,200,4+1,2,21-25 arası,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
1827,3.850.000,İzmir,Karşıyaka,29/04/24,Bostanlı Mahallesi,MÜSTAKİL TAPULU,İKİNCİ EL,200,3+1,2,21-25 arası,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
