ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of bathroom,Age of Structure,Number of floors,Heating,Credi Accepting
304116,64750000,Antalya,Alanya,Büyükhasbahçe Mah.,700,8+2,3,16-20 Arası,3,Klima,Evet
300660,13000000.0,İstanbul,Silivri,Kavaklı Mah.,200,3+1,3,5-10 Arası,2,Doğalgaz (Kombi),Evet
300189,4875000.0,Kocaeli,Kartepe,Sarımeşe Mah.,140,3+1,1,İnşaat Halinde,2,Yerden Isıtma,Evet
300960,3900000.0,Bolu,Merkez,Karacasu Fatih Mah.,75,2+1,2,5-10 Arası,4,Doğalgaz (Kombi),Evet
302596,12740000.0,Bilecik,Merkez,Gülümbe Köyü,276,6+1,3,Sıfır,2,Yerden Isıtma,Evet
304081,26000000.0,İstanbul,Başakşehir,Bahçeşehir 1. Kısım Mah.,290,6+2,3,26-30 Arası,3,Merkezi Sistem,Evet
300656,15000000,İzmir,Gaziemir,Irmak Mah.,194,3+2,2,2,4,Yerden Isıtma,Evet
303661,32500000.0,Giresun,Dereli,,179,7+2,3,Sıfır,2,Yok,Bilinmiyor
303509,5250000,İstanbul,Küçükçekmece,İstasyon Mah.,85,2+1,1,16-20 Arası,12,Doğalgaz (Kombi),Evet
303319,4500000,Sakarya,Hendek,Çamlıca Mah.,126,2+1,1,5-10 Arası,2,Doğalgaz (Kombi),Bilinmiyor
302554,30000000,İstanbul,Bakırköy,Yeşilyurt Mah.,250,4+1,3,5-10 Arası,5,Doğalgaz (Kombi),Evet
293943,1985000,İstanbul,Sancaktepe,Abdurrahmangazi Mah.,120,2+1,1,5-10 Arası,4,Doğalgaz (Kombi),Evet
296377,12900000,Bursa,Osmangazi,Çekirge Mah.,260,4+1,2,21-25 Arası,1,Isı Pompası,Evet
296228,11375000.0,İzmir,Bayraklı,Gümüşpala Mah.,98,3+1,2,5-10 Arası,6,Doğalgaz (Kombi),Evet
292032,30000000,İstanbul,Çatalca,Çakıl Mah.,2400,6+1,2,11-15 Arası,3,Doğalgaz (Kombi),Hayır
296890,6175000.0,İstanbul,Beylikdüzü,Marmara Mah.,165,3+1,2,5-10 Arası,10,Doğalgaz (Kombi),Evet
299234,2250000,İstanbul,Sancaktepe,Emek Mah.,156,3+1,2,5-10 Arası,5,Doğalgaz (Kombi),Evet
292048,4050000,İstanbul,Ataşehir,Örnek Mah.,120,2+2,2,5-10 Arası,2,Doğalgaz (Kombi),Evet
297593,195000000.0,İstanbul,,,3687,3+1,,5-10 Arası,18,Merkezi Sistem,Evet
291873,47125000.0,Ankara,Gölbaşı,İncek Mah.,570,6+1,5,1 Yaşından Küçük,2,Doğalgaz (Kombi),Evet
300431,14000000,İstanbul,Üsküdar,Bahçelievler Mah.,120,3+1,3,3,1,Yerden Isıtma,Evet
287101,24600000,İzmir,Foça,Kazım Dirik Mah.,200,4+1,3,İnşaat Halinde,1,Klima,Hayır
