ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15177519,"3,500,000",İstanbul Satılık Daire,Fatih Satılık Daire,Atikali Mahallesi Satılık Daire,95 M2,2+1,21 Ve Üzeri,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15151967,"1,990,000",İstanbul Satılık Daire,Pendik Satılık Daire,Kaynarca Mahallesi Satılık Daire,120 M2,3+1,16-20,5,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15152578,"4,350,000",İstanbul Satılık Daire,Avcılar Satılık Daire,Cihangir Mahallesi Satılık Daire,100 M2,3+1,0 (Yeni),4,1.Kat,Kombi Doğalgaz,Krediye Uygun
15151816,"4,650,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,200 M2,3+1,5-10,15,Yüksek Giriş,Merkezi (Pay Ölçer),Krediye Uygun
15155048,"2,380,000",İstanbul Satılık Daire,Sultangazi Satılık Daire,Yunus Emre Mahallesi Satılık Daire,90 M2,2+1,5-10,5,1.Kat,Kombi Doğalgaz,Krediye Uygun
15154690,"3,750,000",İstanbul Satılık Daire,Esenler Satılık Daire,Menderes Mahallesi Satılık Daire,115 M2,3+1,11-15,6,2.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15153543,"2,680,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,İnönü Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),5,4.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15155059,"1,680,000",İstanbul Satılık Daire,Sultangazi Satılık Daire,Yunus Emre Mahallesi Satılık Daire,90 M2,2+1,5-10,5,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15155159,"970,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Talatpaşa Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),5,Bahçe Katı,Merkezi Doğalgaz,Krediye Uygun
15156012,"2,800,000",İstanbul Satılık Daire,Esenler Satılık Daire,Kemer Mahallesi Satılık Daire,95 M2,2+1,11-15,5,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15156933,"16,500,000",İstanbul Satılık Daire,Bahçelievler Satılık Daire,Bahçelievler Mahallesi Satılık Daire,125 M2,3+1,0 (Yeni),5,2.Kat,Yerden Isıtma,Krediye Uygun
15158953,"1,470,000",İstanbul Satılık Daire,Fatih Satılık Daire,Yedikule Mahallesi Satılık Daire,75 M2,2+1,21 Ve Üzeri,4,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15157574,"1,950,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Bağlarçeşme Mahallesi Satılık Daire,110 M2,2+1,5-10,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15161332,"2,500,000",İstanbul Satılık Daire,Güngören Satılık Daire,Akıncılar Mahallesi Satılık Daire,75 M2,2+1,0 (Yeni),5,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15162899,"20,500,000",İstanbul Satılık Daire,Kadıköy Satılık Daire,Suadiye Mahallesi Satılık Daire,145 M2,3+1,5-10,11,2.Kat,Kombi Doğalgaz,Krediye Uygun
15162841,"2,350,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Yakuplu Mahallesi Satılık Daire,115 M2,2+1,4,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15163220,"2,050,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Yeşilkent Mahallesi Satılık Daire,110 M2,2+1,4,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15167417,"799,999",İstanbul Satılık Daire,Esenyurt Satılık Daire,Üçevler Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),5,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15169799,"1,385,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Üçevler Mahallesi Satılık Daire,90 M2,2+1,5-10,4,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
15169769,"2,580,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Balıkyolu Mahallesi Satılık Daire,150 M2,3+1,11-15,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15169783,"1,720,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Talatpaşa Mahallesi Satılık Daire,110 M2,2+1,4,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15174580,"1,145,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Üçevler Mahallesi Satılık Daire,110 M2,2+1,0 (Yeni),5,1.Kat,Kombi Doğalgaz,Krediye Uygun
15174917,"1,430,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Piri Reis Mahallesi Satılık Daire,140 M2,3+1,2,5,3.Kat,Kombi Doğalgaz,Krediye Uygun
15174525,"1,399,999",İstanbul Satılık Daire,Esenyurt Satılık Daire,Çınar Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),7,1.Kat,Kombi Doğalgaz,Krediye Uygun
15151658,"1,750,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Örnek Mahallesi Satılık Daire,110 M2,2+1,4,6,1.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15175588,"1,530,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,110 M2,2+1,0 (Yeni),5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15151005,"2,350,000",İstanbul Satılık Daire,Beylikdüzü Satılık Daire,Yakuplu Mahallesi Satılık Daire,115 M2,2+1,4,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15150395,"2,750,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Akevler Mahallesi Satılık Daire,115 M2,2+1,4,7,3.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15154211,"4,150,000",İstanbul Satılık Daire,Bahçelievler Satılık Daire,Şirinevler Mahallesi Satılık Daire,90 M2,2+1,0 (Yeni),5,2.Kat,Kombi Doğalgaz,Krediye Uygun
15151593,"960,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Örnek Mahallesi Satılık Daire,100 M2,2+1,4,6,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15156274,"1,850,000",İstanbul Satılık Daire,Esenyurt Satılık Daire,Mehterçeşme Mahallesi Satılık Daire,110 M2,2+1,5-10,4,1.Kat,Kombi Doğalgaz,Bilinmiyor
15156834,"2,175,000",İstanbul Satılık Daire,Arnavutköy Satılık Daire,Anadolu Mahallesi Satılık Daire,98 M2,2+1,5-10,5,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
