ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15172509,"8,000,000",İzmir Satılık Daire,Çiğli Satılık Daire,Ataşehir Mahallesi Satılık Daire,110 M2,3+1,0 (Yeni),8,2.Kat,Merkezi (Pay Ölçer),Krediye Uygun
15130468,"2,100,000",İzmir Satılık Daire,Tire Satılık Daire,Toki Mahallesi Satılık Daire,80 M2,2+1,5-10,6,2.Kat,Kombi Doğalgaz,Krediye Uygun
15142414,"9,500,000",İzmir Satılık Daire,Gaziemir Satılık Daire,Gazi Mahallesi Satılık Daire,85 M2,2+1,11-15,4,2.Kat,Merkezi (Pay Ölçer),Krediye Uygun
,,,,,,,,,,,
15127416,"1,570,000",İzmir Satılık Daire,Buca Satılık Daire,Adatepe Mahallesi Satılık Daire,41 M2,1+1,5-10,4,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15134796,"2,200,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Bozyaka Mahallesi Satılık Daire,90 M2,2+1,5-10,4,Yüksek Giriş,Isıtma Yok,Krediye Uygun
15151572,"1,750,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Esenlik Mahallesi Satılık Daire,145 M2,3+1,21 Ve Üzeri,6,4.Kat,Isıtma Yok,Krediye Uygun
15131977,"1,750,000",İzmir Satılık Daire,Torbalı Satılık Daire,Tepeköy Mahallesi Satılık Daire,90 M2,2+0,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15156638,"1,950,000",İzmir Satılık Daire,Buca Satılık Daire,Yeşilbağlar Mahallesi Satılık Daire,141 M2,3+1,21 Ve Üzeri,4,Yüksek Giriş,Isıtma Yok,Krediye Uygun
,,,,,,,,,,,
15155467,"4,200,000",İzmir Satılık Daire,Bergama Satılık Daire,Fatih Mahallesi Satılık Daire,145 M2,3+1,0 (Yeni),4,4.Kat,Merkezi Doğalgaz,Krediye Uygun
15161038,"2,345,000",İzmir Satılık Daire,Bergama Satılık Daire,Gaziosmanpaşa Mahallesi Satılık Daire,115 M2,2+1,4,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
14982414,"2,050,000",İzmir Satılık Daire,Çiğli Satılık Daire,Harmandalı Gazi Mustafa Kemal Atatürk Mahallesi Satılık Daire,65 M2,1+1,5-10,6,3.Kat,Kombi Doğalgaz,Krediye Uygun
14983983,"2,900,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Kazım Karabekir Mahallesi Satılık Daire,130 M2,3+1,21 Ve Üzeri,4,1.Kat,Kombi Doğalgaz,Krediye Uygun
14983992,"2,075,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Gülyaka Mahallesi Satılık Daire,130 M2,3+1,21 Ve Üzeri,4,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun Değil
15014159,"3,950,000",İzmir Satılık Daire,Narlıdere Satılık Daire,2. İnönü Mahallesi Satılık Daire,120 M2,3+1,21 Ve Üzeri,9,4.Kat,Kombi Doğalgaz,Krediye Uygun
15076096,"2,450,000",İzmir Satılık Daire,Çiğli Satılık Daire,Ataşehir Mahallesi Satılık Daire,40 M2,1+1,21 Ve Üzeri,5,Düz Giriş (Zemin),Yerden Isıtma,Krediye Uygun Değil
,,,,,,,,,,,
15077782,"3,250,000",İzmir Satılık Daire,Bergama Satılık Daire,Atatürk Mahallesi Satılık Daire,140 M2,3+1,5-10,4,2.Kat,Merkezi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15091379,"2,550,000",İzmir Satılık Daire,Bayraklı Satılık Daire,Körfez Mahallesi Satılık Daire,70 M2,1+1,5-10,8,5.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil
15099661,"3,900,000",İzmir Satılık Daire,Torbalı Satılık Daire,İnönü Mahallesi Satılık Daire,90 M2,2+1,0 (Yeni),5,3.Kat,Yerden Isıtma,Krediye Uygun
15103849,"4,250,000",İzmir Satılık Daire,Balçova Satılık Daire,Fevzi Çakmak Mahallesi Satılık Daire,130 M2,3+1,21 Ve Üzeri,4,2.Kat,Jeotermal,Krediye Uygun
,,,,,,,,,,,
15133182,"3,050,000",İzmir Satılık Daire,Buca Satılık Daire,Vali Rahmi Bey Mahallesi Satılık Daire,80 M2,2+1,3,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15161225,"3,925,000",İzmir Satılık Daire,Buca Satılık Daire,Fırat Mahallesi Satılık Daire,140 M2,3+1,11-15,6,5.Kat,Kombi Doğalgaz,Krediye Uygun
15140932,"2,955,000",İzmir Satılık Daire,Çiğli Satılık Daire,Uğur Mumcu Mahallesi Satılık Daire,100 M2,2+1,3,6,2.Kat,Kombi Doğalgaz,Krediye Uygun
15162302,"5,200,000",İzmir Satılık Daire,Buca Satılık Daire,Yenigün Mahallesi Satılık Daire,145 M2,3+1,5-10,6,6.Kat,Kombi Doğalgaz,Krediye Uygun
15163324,"2,400,000",İzmir Satılık Daire,Bergama Satılık Daire,Gaziosmanpaşa Mahallesi Satılık Daire,115 M2,2+1,5-10,3,2.Kat,Kombi Doğalgaz,Bilinmiyor
15110133,"1,450,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Doğanay Mahallesi Satılık Daire,115 M2,3+1,21 Ve Üzeri,6,Kot 2 (-2).Kat,Kombi Doğalgaz,Krediye Uygun
15168585,"2,450,000",İzmir Satılık Daire,Seferihisar Satılık Daire,Turabiye Mahallesi Satılık Daire,95 M2,2+1,4,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15002951,"2,200,000",İzmir Satılık Daire,Karabağlar Satılık Daire,Vatan Mahallesi Satılık Daire,125 M2,2+1,16-20,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
