ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15167008,"1,450,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,75 M2,1+1,5-10,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
14063698,"1,750,000",Konya Satılık Daire,Selçuklu Satılık Daire,Bedir Mahallesi Satılık Daire,155 M2,3+1,21 Ve Üzeri,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
13752652,"3,100,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,165 M2,3+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil
14742765,"2,770,000",Konya Satılık Daire,Selçuklu Satılık Daire,Esenler Mahallesi Satılık Daire,145 M2,3+1,5-10,5,2.Kat,Merkezi (Pay Ölçer),Krediye Uygun
14608724,"1,850,000",Konya Satılık Daire,Meram Satılık Daire,Alakova Mahallesi Satılık Daire,125 M2,3+1,0 (Yeni),2,2.Kat,Yerden Isıtma,Bilinmiyor
14686011,"4,900,000",Konya Satılık Daire,Selçuklu Satılık Daire,Hocacihan Mahallesi Satılık Daire,180 M2,3+1,0 (Yeni),10,6.Kat,Yerden Isıtma,Krediye Uygun
,,,,,,,,,,,
14772343,"2,800,000",Konya Satılık Daire,Selçuklu Satılık Daire,Sancak Mahallesi Satılık Daire,114 M2,2+1,0 (Yeni),6,1.Kat,Kat Kaloriferi,Krediye Uygun Değil
15034751,"3,060,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,155 M2,3+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
14899510,"3,000,000",Konya Satılık Daire,Karatay Satılık Daire,Karakulak Mahallesi Satılık Daire,1.680 M2,3+1,1,6,6.Kat,Merkezi (Pay Ölçer),Krediye Uygun
,,,,,,,,,,,
14807062,"1,900,000",Konya Satılık Daire,Selçuklu Satılık Daire,Malazgirt Mahallesi Satılık Daire,135 M2,3+1,21 Ve Üzeri,5,5.Kat,Kombi Doğalgaz,Krediye Uygun
15073278,"1,700,000",Konya Satılık Daire,Selçuklu Satılık Daire,İhsaniye Mahallesi Satılık Daire,145 M2,3+1,16-20,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15133194,"1,500,000",Konya Satılık Daire,Selçuklu Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,130 M2,2+1,21 Ve Üzeri,3,1.Kat,Kombi Doğalgaz,Krediye Uygun
13691116,"2,050,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,155 M2,3+1,16-20,4,4.Kat,Kombi Doğalgaz,Krediye Uygun
14563479,"3,300,000",Konya Satılık Daire,Akşehir Satılık Daire,Yeni Mahallesi Satılık Daire,150 M2,3+1,4,5,1.Kat,Kombi Doğalgaz,Krediye Uygun
15172453,"525,000",Konya Satılık Daire,Akşehir Satılık Daire,Doğrugöz Mahallesi Satılık Daire,140 M2,3+1,21 Ve Üzeri,2,1.Kat,Sobalı,Bilinmiyor
15173776,"1,300,000",Konya Satılık Daire,Meram Satılık Daire,Sahibiata Mahallesi Satılık Daire,100 M2,2+1,21 Ve Üzeri,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15121652,"3,000,000",Konya Satılık Daire,Selçuklu Satılık Daire,Esenler Mahallesi Satılık Daire,155 M2,3+1,21 Ve Üzeri,9,7.Kat,Merkezi Doğalgaz,Krediye Uygun
15174813,"2,390,000",Konya Satılık Daire,Karatay Satılık Daire,Fetih Mahallesi Satılık Daire,130 M2,3+1,4,2,2.Kat,Yerden Isıtma,Bilinmiyor
15174348,"2,950,000",Konya Satılık Daire,Meram Satılık Daire,Ali Ulvi Kurucu Mahallesi Satılık Daire,125 M2,3+1,0 (Yeni),5,3.Kat,Yerden Isıtma,Bilinmiyor
15172360,"2,750,000",Konya Satılık Daire,Selçuklu Satılık Daire,Sancak Mahallesi Satılık Daire,135 M2,2+1,0 (Yeni),5,Yüksek Giriş,Yerden Isıtma,Krediye Uygun
15174778,"2,265,000",Konya Satılık Daire,Selçuklu Satılık Daire,Parsana Mahallesi Satılık Daire,135 M2,2+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15175133,"2,200,000",Konya Satılık Daire,Karatay Satılık Daire,Fetih Mahallesi Satılık Daire,100 M2,2+1,4,5,2.Kat,Yerden Isıtma,Bilinmiyor
15175499,"1,110,000",Konya Satılık Daire,Seydişehir Satılık Daire,Pınarbaşı Mahallesi Satılık Daire,85 M2,2+1,21 Ve Üzeri,4,3.Kat,Sobalı,Krediye Uygun Değil
15175459,"2,150,000",Konya Satılık Daire,Selçuklu Satılık Daire,Akıncılar Mahallesi Satılık Daire,165 M2,3+1,11-15,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15175391,"1,900,000",Konya Satılık Daire,Karatay Satılık Daire,Hacısadık Mahallesi Satılık Daire,115 M2,2+1,3,6,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15175256,"2,275,000",Konya Satılık Daire,Karatay Satılık Daire,Erenler Mahallesi Satılık Daire,165 M2,3+1,16-20,7,3.Kat,Kombi Doğalgaz,Krediye Uygun
15099244,"2,750,000",Konya Satılık Daire,Karatay Satılık Daire,Saraçoğlu Mahallesi Satılık Daire,145 M2,2+1,16-20,1,Müstakil,Kombi Doğalgaz,Bilinmiyor
15175593,"1,450,000",Konya Satılık Daire,Meram Satılık Daire,Hatıp Mahallesi Satılık Daire,100 M2,2+1,1,3,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15175786,"1,950,000",Konya Satılık Daire,Karatay Satılık Daire,Gaziosmanpaşa Mahallesi Satılık Daire,165 M2,3+1,5-10,3,Yüksek Giriş,Merkezi Doğalgaz,Krediye Uygun Değil
15175635,"1,750,000",Konya Satılık Daire,Selçuklu Satılık Daire,Işıklar Mahallesi Satılık Daire,140 M2,3+1,16-20,5,5.Kat,Kombi Doğalgaz,Krediye Uygun
15175524,"3,300,000",Konya Satılık Daire,Karatay Satılık Daire,Ulubatlıhasan Mahallesi Satılık Daire,145 M2,3+1,4,5,3.Kat,Merkezi (Pay Ölçer),Krediye Uygun
15176403,"6,900,000",Konya Satılık Daire,Seydişehir Satılık Daire,Alaylar Bir Mahallesi Satılık Daire,270 M2,5+2,11-15,2,Bahçe Dublex,Doğalgaz Sobalı,Krediye Uygun
15176194,"2,700,000",Konya Satılık Daire,Karatay Satılık Daire,Keykubat Mahallesi Satılık Daire,155 M2,3+1,5-10,7,2.Kat,Kombi Doğalgaz,Krediye Uygun
15176720,"2,360,000",Konya Satılık Daire,Karatay Satılık Daire,Hacıyusufmescit Mahallesi Satılık Daire,155 M2,3+1,4,5,3.Kat,Yerden Isıtma,Krediye Uygun
15176322,"2,300,000",Konya Satılık Daire,Selçuklu Satılık Daire,Malazgirt Mahallesi Satılık Daire,140 M2,3+1,21 Ve Üzeri,8,7.Kat,Merkezi Doğalgaz,Krediye Uygun
15177174,"1,550,000",Konya Satılık Daire,Selçuklu Satılık Daire,Işıklar Mahallesi Satılık Daire,150 M2,2+1,21 Ve Üzeri,7,6.Kat,Kombi Doğalgaz,Krediye Uygun
