ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15177735,"2,750,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Balat Mahallesi Satılık Daire,60 M2,1+1,2,3,1.Kat,Yerden Isıtma,Krediye Uygun
15176010,"6,200,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Balat Mahallesi Satılık Daire,140 M2,2+1,2,6,1.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil
15176323,"2,150,000",Bursa Satılık Daire,İnegöl Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,135 M2,3+1,4,3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15176314,"1,900,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Ertuğrul Mahallesi Satılık Daire,110 M2,2+1,5-10,4,Bodrum Kat,Kombi Doğalgaz,Krediye Uygun
15176712,"2,450,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Alaaddin Mahallesi Satılık Daire,90 M2,2+1,21 Ve Üzeri,5,4.Kat,Merkezi (Pay Ölçer),Bilinmiyor
15175989,"12,250,000",Bursa Satılık Daire,Mudanya Satılık Daire,Halitpaşa Mahallesi Satılık Daire,275 M2,6+1,5-10,6,6.Kat,Kombi Doğalgaz,Krediye Uygun
15177147,"2,205,000",Bursa Satılık Daire,Gemlik Satılık Daire,Eşref Dinçer Mahallesi Satılık Daire,125 M2,2+1,1,5,1.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15177720,"2,250,000",Bursa Satılık Daire,Mustafakemalpaşa Satılık Daire,Hamidiye Mahallesi Satılık Daire,155 M2,4+1,21 Ve Üzeri,5,4.Kat,Kombi Doğalgaz,Bilinmiyor
15177596,"1,885,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Görükle Mahallesi Satılık Daire,90 M2,2+1,4,5,1.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15177757,"2,100,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Ahmetpaşa Mahallesi Satılık Daire,90 M2,2+1,21 Ve Üzeri,5,2.Kat,Kombi Doğalgaz,Bilinmiyor
,,,,,,,,,,,
14593320,"5,550,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Balat Mahallesi Satılık Daire,185 M2,2+1,0 (Yeni),6,5.Kat,Yerden Isıtma,Krediye Uygun
15176578,"3,850,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Tayakadın Mahallesi Satılık Daire,230 M2,4+1,5-10,5,5.Kat,Kombi Doğalgaz,Krediye Uygun
15177536,"4,500,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Fethiye Mahallesi Satılık Daire,230 M2,3+1,5-10,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
15177040,"1,000,000",Bursa Satılık Daire,Mustafakemalpaşa Satılık Daire,Yunus Emre Mahallesi Satılık Daire,100 M2,2+1,16-20,5,5.Kat,Kombi Doğalgaz,Bilinmiyor
14867274,"4,100,000",Bursa Satılık Daire,Mudanya Satılık Daire,Güzelyalı Burgaz Mahallesi Satılık Daire,150 M2,3+1,4,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15177276,"2,600,000",Bursa Satılık Daire,Yıldırım Satılık Daire,Emirsultan Mahallesi Satılık Daire,115 M2,3+1,5-10,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
14651030,"9,380,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Balat Mahallesi Satılık Daire,2.145 M2,2+1,4,7,Bahçe Katı,Yerden Isıtma,Krediye Uygun
15097042,"2,500,000",Bursa Satılık Daire,Mustafakemalpaşa Satılık Daire,Barış Mahallesi Satılık Daire,145 M2,3+1,5-10,5,2.Kat,Kombi Doğalgaz,Krediye Uygun
14867287,"3,100,000",Bursa Satılık Daire,Osmangazi Satılık Daire,Emek Fatih Sultan Mehmet Mahallesi Satılık Daire,130 M2,3+1,16-20,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15177843,"4,250,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,130 M2,3+1,21 Ve Üzeri,4,1.Kat,Kombi Doğalgaz,Krediye Uygun
14587522,"8,500,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Balat Mahallesi Satılık Daire,108 M2,1+1,0 (Yeni),6,5.Kat,Yerden Isıtma,Krediye Uygun
,,,,,,,,,,,
14594566,"11,400,000",Bursa Satılık Daire,Nilüfer Satılık Daire,Balat Mahallesi Satılık Daire,233 M2,3+1,0 (Yeni),6,1.Kat,Yerden Isıtma,Krediye Uygun
