ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15169203,"2,850,000",Kocaeli Satılık Daire,Körfez Satılık Daire,Kuzey Mahallesi Satılık Daire,125 M2,3+1,0 (Yeni),3,2.Kat,Yerden Isıtma,Krediye Uygun
15169464,"2,500,000",Kocaeli Satılık Daire,Körfez Satılık Daire,Kuzey Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),3,Çatı Dubleks,Yerden Isıtma,Krediye Uygun
,,,,,,,,,,,
15169442,"2,200,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Özgürlük Mahallesi Satılık Daire,85 M2,2+1,0 (Yeni),4,1.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15170033,"2,740,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Emek Mahallesi Satılık Daire,175 M2,3+1,0 (Yeni),4,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun Değil
15169631,"3,000,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Hatipköy Mahallesi Satılık Daire,156 M2,3+1,0 (Yeni),4,Çatı Katı,Kombi Doğalgaz,Bilinmiyor
15170992,"4,545,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Seymen Mahallesi Satılık Daire,180 M2,4+1,0 (Yeni),3,Bahçe Katı,Yerden Isıtma,Bilinmiyor
15170596,"2,990,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Yeşilyurt Mahallesi Satılık Daire,130 M2,3+1,0 (Yeni),3,2.Kat,Yerden Isıtma,Krediye Uygun
,,,,,,,,,,,
15171431,"3,600,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Topçular Mahallesi Satılık Daire,125 M2,3+1,1,3,Çatı Katı,Kombi Doğalgaz,Krediye Uygun Değil
15173997,"2,025,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Atatürk Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),3,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15171201,"3,500,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Güzeller Mahallesi Satılık Daire,90 M2,2+1,2,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15173228,"3,200,000",Kocaeli Satılık Daire,Derince Satılık Daire,Çenedağ Mahallesi Satılık Daire,140 M2,2+1,0 (Yeni),3,3.Kat,Kombi Doğalgaz,Krediye Uygun
,,,,,,,,,,,
15173226,"2,630,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Gündoğdu Mahallesi Satılık Daire,112 M2,2+1,4,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15169476,"2,650,000",Kocaeli Satılık Daire,Derince Satılık Daire,Sırrıpaşa Mahallesi Satılık Daire,115 M2,2+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15156783,"890,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Özgürlük Mahallesi Satılık Daire,100 M2,2+1,21 Ve Üzeri,6,Yüksek Giriş,Sobalı,Krediye Uygun Değil
15156317,"13,650,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Kabaoğlu Mahallesi Satılık Daire,300 M2,5+1,3,3,Villa Tipi,Yerden Isıtma,Krediye Uygun
15155954,"2,250,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Tüysüzler Mahallesi Satılık Daire,92 M2,2+1,3,3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15156853,"1,030,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Akpınar Mahallesi Satılık Daire,80 M2,2+1,11-15,3,3.Kat,Kombi Doğalgaz,Krediye Uygun
15157080,"2,550,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Yeşilyurt Mahallesi Satılık Daire,140 M2,3+1,0 (Yeni),3,3.Kat,Yerden Isıtma,Krediye Uygun
15157083,"3,190,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Dumlupınar Mahallesi Satılık Daire,200 M2,4+1,0 (Yeni),3,3.Kat,Yerden Isıtma,Krediye Uygun
15174347,"3,000,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Paşadağ Mahallesi Satılık Daire,170 M2,2+1,2,4,Bahçe Katı,Yerden Isıtma,Krediye Uygun
,,,,,,,,,,,
15156333,"3,850,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Fatih Sultan Mehmet Mahallesi Satılık Daire,180 M2,3+1,0 (Yeni),2,2.Kat,Kombi Doğalgaz,Krediye Uygun
15160432,"2,075,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Uzunçiftlik Mahallesi Satılık Daire,95 M2,2+1,5-10,3,2.Kat,Kombi Doğalgaz,Bilinmiyor
15155722,"2,790,000",Kocaeli Satılık Daire,Derince Satılık Daire,Yenikent Mahallesi Satılık Daire,90 M2,1+1,5-10,4,1.Kat,Merkezi (Pay Ölçer),Krediye Uygun
15157328,"3,100,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Tüysüzler Mahallesi Satılık Daire,156 M2,3+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Bilinmiyor
15164923,"1,580,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Paşadağ Mahallesi Satılık Daire,85 M2,2+1,11-15,4,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15165592,"1,170,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Özgürlük Mahallesi Satılık Daire,95 M2,2+1,21 Ve Üzeri,4,2.Kat,Kombi Doğalgaz,Krediye Uygun Değil
15159239,"2,290,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Fatih Mahallesi Satılık Daire,120 M2,2+1,3,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15165603,"2,670,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,İnönü Mahallesi Satılık Daire,140 M2,3+1,0 (Yeni),4,Çatı Katı,Kombi Doğalgaz,Krediye Uygun
15167158,"2,495,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Fatih Sultan Mehmet Mahallesi Satılık Daire,115 M2,2+1,0 (Yeni),3,2.Kat,Yerden Isıtma,Krediye Uygun
15165600,"2,250,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Özgürlük Mahallesi Satılık Daire,90 M2,2+1,0 (Yeni),4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15169592,"2,750,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Hatipköy Mahallesi Satılık Daire,95 M2,2+1,0 (Yeni),4,2.Kat,Kombi Doğalgaz,Bilinmiyor
15168695,"2,750,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Ertuğrul Gazi Mahallesi Satılık Daire,160 M2,3+1,1,3,3.Kat,Kombi Doğalgaz,Krediye Uygun
15164921,"2,650,000",Kocaeli Satılık Daire,Başiskele Satılık Daire,Barbaros Mahallesi Satılık Daire,110 M2,2+1,5-10,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15143048,"1,950,000",Kocaeli Satılık Daire,Gebze Satılık Daire,İnönü Mahallesi Satılık Daire,80 M2,2+1,4,4,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15143696,"2,800,000",Kocaeli Satılık Daire,Körfez Satılık Daire,Güney Mahallesi Satılık Daire,120 M2,3+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15143384,"1,200,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Kozluk Mahallesi Satılık Daire,115 M2,2+1,11-15,11,Kot 1 (-1).Kat,Merkezi Doğalgaz,Krediye Uygun
15143833,"2,945,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Osman Gazi Mahallesi Satılık Daire,98 M2,2+1,4,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15157141,"2,250,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Tüysüzler Mahallesi Satılık Daire,132 M2,2+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Bilinmiyor
15143941,"2,750,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Gündoğdu Mahallesi Satılık Daire,105 M2,2+1,1,4,2.Kat,Kombi Doğalgaz,Krediye Uygun
15144188,"3,340,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Atatürk Mahallesi Satılık Daire,220 M2,4+1,0 (Yeni),4,4.Kat,Kombi Doğalgaz,Krediye Uygun
15144305,"2,600,000",Kocaeli Satılık Daire,İzmit Satılık Daire,28 Haziran Mahallesi Satılık Daire,180 M2,3+1,11-15,9,7.Kat,Kombi Doğalgaz,Krediye Uygun
15144661,"2,350,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Yeni Mahallesi Satılık Daire,130 M2,2+1,0 (Yeni),5,Bahçe Katı,Merkezi Doğalgaz,Krediye Uygun
15144715,"2,780,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Bağlarbaşı Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15143016,"3,900,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Ertuğrul Gazi Mahallesi Satılık Daire,130 M2,3+1,0 (Yeni),2,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun
15138189,"4,750,000",Kocaeli Satılık Daire,Derince Satılık Daire,Yavuz Sultan Mahallesi Satılık Daire,210 M2,4+1,5-10,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15138964,"1,630,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Düzağaç Mahallesi Satılık Daire,80 M2,2+1,16-20,3,3.Kat,Kombi Doğalgaz,Krediye Uygun
15125888,"4,650,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Güzeller Mahallesi Satılık Daire,200 M2,4+1,0 (Yeni),4,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun
15139010,"3,620,000",Kocaeli Satılık Daire,Gölcük Satılık Daire,Şirinköy Mahallesi Satılık Daire,160 M2,3+1,4,4,3.Kat,Merkezi (Pay Ölçer),Krediye Uygun
15139017,"4,150,000",Kocaeli Satılık Daire,İzmit Satılık Daire,Alikahya Fatih Mahallesi Satılık Daire,145 M2,3+1,16-20,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15140221,"18,000,000",Kocaeli Satılık Daire,Kartepe Satılık Daire,Rahmiye Mahallesi Satılık Daire,140 M2,4+1,11-15,3,Bahçe Dublex,Kombi Doğalgaz,Krediye Uygun
15164018,"2,350,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Atatürk Mahallesi Satılık Daire,90 M2,2+1,5-10,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15140227,"1,700,000",Kocaeli Satılık Daire,Karamürsel Satılık Daire,Kayacık Mahallesi Satılık Daire,130 M2,2+1,21 Ve Üzeri,6,2.Kat,Kombi Doğalgaz,Bilinmiyor
15165594,"2,200,000",Kocaeli Satılık Daire,Çayırova Satılık Daire,Özgürlük Mahallesi Satılık Daire,90 M2,2+1,1,4,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
15158448,"3,500,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Sırasöğütler Mahallesi Satılık Daire,200 M2,4+1,4,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
15140482,"3,100,000",Kocaeli Satılık Daire,Derince Satılık Daire,Dumlupınar Mahallesi Satılık Daire,110 M2,3+1,5-10,3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
15158446,"2,600,000",Kocaeli Satılık Daire,Darıca Satılık Daire,Kazım Karabekir Mahallesi Satılık Daire,85 M2,2+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
15127717,"1,940,000",Kocaeli Satılık Daire,Gebze Satılık Daire,Osman Yılmaz Mahallesi Satılık Daire,65 M2,1+1,1,5,Düz Giriş (Zemin),Merkezi (Pay Ölçer),Bilinmiyor
