ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
15166726,"6,500,000",Muğla Satılık Daire,Fethiye Satılık Daire,Taşyaka Mahallesi Satılık Daire,160 M2,4+1,11-15,3,Çatı Dubleks,Klimalı,Krediye Uygun
15176766,"8,000,000",Muğla Satılık Daire,Milas Satılık Daire,Boğaziçi Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),2,Bahçe Katı,Klimalı,Bilinmiyor
15176640,"4,750,000",Muğla Satılık Daire,Bodrum Satılık Daire,Peksimet Mahallesi Satılık Daire,110 M2,2+1,11-15,2,Müstakil,Klimalı,Bilinmiyor
15176231,"4,500,000",Muğla Satılık Daire,Fethiye Satılık Daire,Taşyaka Mahallesi Satılık Daire,56 M2,1+1,0 (Yeni),3,1.Kat,Klimalı,Bilinmiyor
13860048,"2,100,000",Muğla Satılık Daire,Dalaman Satılık Daire,Altıntas Mahallesi Satılık Daire,70 M2,1+1,0 (Yeni),5,1.Kat,Klimalı,Krediye Uygun
,,,,,,,,,,,
14037258,"7,750,000",Muğla Satılık Daire,Bodrum Satılık Daire,Yalıkavak Mahallesi Satılık Daire,70 M2,2+1,11-15,2,Bahçe Katı,Klimalı,Krediye Uygun
14659760,"5,950,000",Muğla Satılık Daire,Milas Satılık Daire,İsmet Paşa Mahallesi Satılık Daire,280 M2,5+1,5-10,3,3.Kat,Klimalı,Krediye Uygun
13493440,"5,500,000",Muğla Satılık Daire,Ula Satılık Daire,Gökova Mahallesi Satılık Daire,120 M2,2+2,4,3,Bahçe Dublex,Klimalı,Bilinmiyor
12033836,"2,150,000",Muğla Satılık Daire,Milas Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,75 M2,1+1,5-10,3,Yüksek Giriş,Klimalı,Krediye Uygun
,,,,,,,,,,,
15172695,"3,800,000",Muğla Satılık Daire,Dalaman Satılık Daire,Söğütlüyurt Mahallesi Satılık Daire,110 M2,2+1,5-10,3,2.Kat,Klimalı,Krediye Uygun
14519194,"8,750,000",Muğla Satılık Daire,Bodrum Satılık Daire,Karabağ Mahallesi Satılık Daire,85 M2,2+1,11-15,2,Bahçe Katı,Klimalı,Krediye Uygun
14683132,"6,690,000",Muğla Satılık Daire,Datça Satılık Daire,İskele Mahallesi Satılık Daire,130 M2,3+1,21 Ve Üzeri,2,Çatı Dubleks,Klimalı,Krediye Uygun
15172697,"4,450,000",Muğla Satılık Daire,Milas Satılık Daire,Güllük Mahallesi Satılık Daire,95 M2,2+1,5-10,3,3.Kat,Klimalı,Krediye Uygun
,,,,,,,,,,,
15173962,"7,700,000",Muğla Satılık Daire,Fethiye Satılık Daire,Akarca Mahallesi Satılık Daire,110 M2,3+1,16-20,2,2.Kat,Klimalı,Krediye Uygun Değil
13888461,"3,455,000",Muğla Satılık Daire,Dalaman Satılık Daire,Altıntas Mahallesi Satılık Daire,130 M2,3+1,11-15,3,1.Kat,Klimalı,Krediye Uygun
15173230,"1,750,000",Muğla Satılık Daire,Dalaman Satılık Daire,Merkez Mahallesi Satılık Daire,60 M2,1+1,0 (Yeni),3,Bahçe Katı,Klimalı,Krediye Uygun
14553422,"9,750,000",Muğla Satılık Daire,Köyceğiz Satılık Daire,Ulucami Mahallesi Satılık Daire,158 M2,3+1,5-10,3,1.Kat,Klimalı,Krediye Uygun
14729833,"4,100,000",Muğla Satılık Daire,Milas Satılık Daire,Boğaziçi Mahallesi Satılık Daire,85 M2,2+1,5-10,2,Bahçe Katı,Klimalı,Krediye Uygun
15173785,"3,250,000",Muğla Satılık Daire,Fethiye Satılık Daire,Patlangıç Mahallesi Satılık Daire,70 M2,1+1,11-15,3,Düz Giriş (Zemin),Klimalı,Krediye Uygun
15174761,"3,000,000",Muğla Satılık Daire,Ortaca Satılık Daire,Cumhuriyet Mahallesi Satılık Daire,100 M2,2+1,5-10,2,2.Kat,Klimalı,Krediye Uygun Değil
,,,,,,,,,,,
